Koord E,Koord N,lon,lat,Nr
2681136,1248371,8.513078055909846,47.381175933311646,9.99001E+13
2681154,1249302,8.513485253187428,47.38954655539837,9.99001E+13
2681172,1248561,8.513589195,47.382880243457556,9.99001E+13
2681204,1247885,8.513890259862457,47.37679676398234,9.99001E+13
2681249,1247462,8.514409273,47.37298700448765,9.99001E+13
2681249,1250136,8.514894831035594,47.39703530595211,9.99001E+13
2681261,1247172,8.514515498967361,47.37037743352869,9.99001E+13
2681330,1249237,8.515804211085868,47.38894028,9.99001E+13
2681337,1249249,8.515899092999131,47.389047337469854,9.99001E+13
2681358,1248104,8.515969008979393,47.37874732174795,9.99001E+13
2681366,1248464,8.516140385,47.38198395495654,9.99001E+13
2681368,1249988,8.516444048500878,47.395689600873304,9.99001E+13
2681401,1248904,8.516683869343785,47.38593671933715,9.99001E+13
2681417,1248772,8.516871724422641,47.38474761646322,9.99001E+13
2681423,1247099,8.516646822,47.36970091777286,9.99001E+13
2681444,1247628,8.517021064399644,47.374455838409425,9.99001E+13
2681465,1249152,8.517576522366836,47.38815916452057,9.99001E+13
2681491,1248880,8.517871290312359,47.38570975,9.99001E+13
2681501,1248896,8.518006625555127,47.38585240892152,9.99001E+13
2681505,1248905,8.518061233,47.38593285443041,9.99001E+13
2681510,1248911,8.518128537198878,47.38598619606892,9.99E+13
2681520,1248371,8.518162580848696,47.381128533715014,9.99001E+13
2681529,1248143,8.518240212810788,47.37907692737043,9.99001E+13
2681531,1247188,8.518092745,47.370487979142986,9.99E+13
2681549,1249031,8.518666853,47.38706057417017,9.99001E+13
2681553,1247145,8.518376154087644,47.37009854004488,9.99001E+13
2681585,1247280,8.518824378498493,47.37130869008185,9.99E+13
2681612,1252000,8.520042975316947,47.413753969788395,9.99001E+13
2681618,1247695,8.519336915357949,47.37503686744523,9.99E+13
2681635,1248308,8.519673796,47.38054771169747,9.99E+13
2681642,1248304,8.519765751735298,47.38051087080808,9.99001E+13
2681675,1246747,8.519918609242483,47.36650405019504,9.99001E+13
2681687,1249183,8.520522057820626,47.38841046867513,9.99001E+13
2681739,1249315,8.521234797924608,47.38959114219425,9.99E+13
2681741,1247284,8.520890313472648,47.371325331787624,9.99E+13
2681782,1249336,8.521808087400522,47.38977466583649,9.99001E+13
2681789,1247188,8.521508222393955,47.370456008770404,9.99001E+13
2681792,1247644,8.521631255,47.37455662899378,9.99001E+13
2681802,1245733,8.521414525445842,47.35736895710951,9.99001E+13
2681817,1251891,8.522739076993052,47.41274826103578,9.99001E+13
2681920,1247118,8.523229627416919,47.36981019845761,9.99001E+13
2681931,1249623,8.523833870289614,47.39233724266789,9.99001E+13
2681932,1249623,8.523847114002265,47.39233711828886,9.99001E+13
2681959,1246086,8.52355702,47.36052414,9.99001E+13
2681967,1250010,8.524381563020171,47.39581318690509,9.99001E+13
2681971,1245151,8.523544743,47.35211377448189,9.99001E+13
2681971,1246936,8.523871448843638,47.36816705594828,9.99001E+13
2681986,1247273,8.524131728416641,47.37119596868533,9.99001E+13
2681986,1248239,8.524308668804078,47.37988358558043,9.99001E+13
2681989,1247484,8.524210088725285,47.37309320317619,9.99001E+13
2681990,1247620,8.524248238008433,47.37431618077949,9.99001E+13
2682001,1249875,8.524807128020711,47.39459485457001,9.99001E+13
2682006,1247609,8.524458050447645,47.374215262416286,9.99E+13
2682014,1247609,8.524563964,47.374214266765215,9.99001E+13
2682038,1247738,8.524905347997901,47.37537142695404,9.99001E+13
2682042,1248137,8.525031444474452,47.37895929016245,9.99001E+13
2682058,1247436,8.525114775616633,47.372652931340234,9.99001E+13
2682079,1247503,8.525405075721087,47.37325287359573,9.99001E+13
2682083,1249069,8.525745263915812,47.38733600360786,9.99001E+13
2682095,1247870,8.525684209653292,47.37655145521434,9.99E+13
2682108,1247327,8.525756723792165,47.37166642266247,9.99001E+13
2682120,1248031,8.526044744439778,47.377996274885554,9.99001E+13
2682129,1247846,8.526129958,47.37633137696493,9.99001E+13
2682140,1247713,8.526251188,47.37513388514732,9.99001E+13
2682145,1247827,8.526338306967174,47.37615850814661,9.99E+13
2682158,1246500,8.526266897496185,47.36422264103358,9.99001E+13
2682168,1247746,8.52662795,47.37542717602577,9.99E+13
2682176,1247942,8.526769851,47.377188882056124,9.99001E+13
2682185,1248130,8.526923533,47.378878515200775,9.99001E+13
2682199,1248107,8.527104673846855,47.378669921079236,9.99001E+13
2682217,1248295,8.527377537226528,47.380358430006886,9.99001E+13
2682243,1248213,8.527706726637005,47.379617728380865,9.99001E+13
2682271,1247497,8.527945852869646,47.37317497,9.99E+13
2682301,1248380,8.528505390156342,47.38111238,9.99001E+13
2682301,1247837,8.528405535645124,47.37622897562057,9.99001E+13
2682316,1247037,8.528457022422216,47.36903238724881,9.99E+13
2682316,1248493,8.528724789937606,47.38212675598192,9.99001E+13
2682318,1247748,8.528614242,47.37542644083694,9.99E+13
2682333,1247709,8.528805661,47.37507382471898,9.99001E+13
2682360,1248476,8.529304272,47.381968369947785,9.99E+13
2682371,1247428,8.529257049679781,47.37254193328202,9.99E+13
2682391,1246510,8.529352890942892,47.36428348864965,9.99001E+13
2682393,1248924,8.529823722357742,47.385993269230255,9.99001E+13
2682402,1247546,8.529689173340017,47.373599277580794,9.99001E+13
2682410,1246516,8.529605492943336,47.36433507363349,9.99E+13
2682418,1246585,8.529724086879627,47.36495461876817,9.99001E+13
2682439,1248868,8.530422541748123,47.38548389,9.99E+13
2682453,1248073,8.530461445719228,47.378332409910136,9.99001E+13
2682467,1247771,8.530591164139768,47.37561465764546,9.99001E+13
2682468,1249013,8.530833285820586,47.38678429335068,9.99001E+13
2682469,1247473,8.530562739902704,47.37293437845223,9.99001E+13
2682481,1248137,8.530843966661225,47.37890448131162,9.99E+13
2682484,1248125,8.530881476072933,47.37879618528721,9.99001E+13
2682496,1248133,8.531041834663956,47.37886662991227,9.99E+13
2682520,1247533,8.531248983,47.37346759704404,9.99E+13
2682523,1245368,8.530889718988922,47.353996481261966,9.99001E+13
2682527,1248747,8.531565519,47.384384673189935,9.99001E+13
2682528,1247531,8.531354526357243,47.37344860838832,9.99001E+13
2682539,1247518,8.531497758,47.373330316617235,9.99001E+13
2682552,1244094,8.531038782452512,47.34253519,9.99001E+13
2682564,1246141,8.531574811,47.360943268459486,9.99001E+13
2682565,1246584,8.531669724829623,47.36492722593535,9.99001E+13
2682570,1247525,8.531909457,47.37338938659733,9.99001E+13
2682572,1248057,8.532034078841338,47.37817361368276,9.99001E+13
2682575,1250205,8.532470257,47.397490943482865,9.99001E+13
2682584,1248819,8.532333585967569,47.385025052086505,9.99001E+13
2682585,1248819,8.532346827841597,47.38502492673235,9.99001E+13
2682587,1247200,8.532074561947711,47.37046440460084,9.99001E+13
2682590,1248375,8.532331087820426,47.381031248750546,9.99001E+13
2682600,1246689,8.532152384989839,47.36586714804826,9.99001E+13
2682605,1248685,8.532586927042363,47.38381730985249,9.99001E+13
2682613,1246440,8.532278528173313,47.36362615980503,9.99001E+13
2682615,1245667,8.532162407820922,47.35667399441228,9.99001E+13
2682621,1247060,8.532498825819484,47.36920106746424,9.99001E+13
2682633,1244894,8.532258047,47.34971980908349,9.99001E+13
2682635,1248122,8.532880211077465,47.37875028463202,9.99001E+13
2682649,1247168,8.532889425976116,47.370168843028004,9.99E+13
2682673,1247751,8.533314813672492,47.375408976195914,9.99001E+13
2682689,1248935,8.533745420308803,47.386055110138926,9.99001E+13
2682705,1247780,8.533743836,47.37566576843382,9.99001E+13
2682715,1248072,8.533930194943196,47.37829057804993,9.99001E+13
2682734,1248061,8.534179725199145,47.37818926552172,9.99001E+13
2682739,1247030,8.534055358095646,47.368916461085895,9.99001E+13
2682746,1248313,8.534385200471071,47.380454086751755,9.99001E+13
2682753,1246180,8.534083599376586,47.36127030911151,9.99001E+13
2682753,1247155,8.534263793319225,47.37003887731342,9.99001E+13
2682756,1247838,8.534429775942012,47.37618098091532,9.99001E+13
2682757,1247559,8.534391431920197,47.373671702979266,9.99E+13
2682781,1247890,8.534770385171175,47.37664549598222,9.99001E+13
2682781,1245286,8.534288978764573,47.353226670377175,9.99001E+13
2682788,1248389,8.534955371031469,47.381132306085284,9.99001E+13
2682789,1247530,8.534809718,47.37340687529017,9.99001E+13
2682793,1247416,8.534841588987053,47.37238112712911,9.99001E+13
2682804,1247069,8.534923032355922,47.36925903936375,9.99001E+13
2682806,1250782,8.535636688907152,47.40265108023831,9.99001E+13
2682812,1247232,8.535059087092018,47.37072395669055,9.99E+13
2682818,1246814,8.535061195,47.36696396,9.99001E+13
2682829,1246427,8.535135218017704,47.36348213501256,9.99E+13
2682832,1249091,8.535667925312618,47.38744010742368,9.99001E+13
2682835,1247240,8.535365048524103,47.37079301306273,9.99001E+13
2682843,1247330,8.535487610019512,47.37160141214934,9.99001E+13
2682866,1244226,8.535217821861792,47.34368293602779,9.99001E+13
2682875,1246161,8.535694871,47.36108410529498,9.99001E+13
2682875,1249325,8.536280698942566,47.38953914026803,9.99E+13
2682878,1252016,8.536819190759486,47.41373973241973,9.99001E+13
2682893,1250923,8.536815252,47.40390819038799,9.99001E+13
2682919,1248045,8.536626191,47.37802211610857,9.99001E+13
2682929,1248245,8.536795652505603,47.37981953012865,9.99E+13
2682962,1247231,8.537044647919696,47.37069609627175,9.99E+13
2682978,1251983,8.538137964697347,47.413430360409464,9.99001E+13
2682989,1246737,8.537310513455317,47.36624996167839,9.99001E+13
2682998,1247675,8.537603549195714,47.37468462321115,9.99001E+13
2683010,1247402,8.537711794684432,47.37222791989021,9.99E+13
2683014,1248176,8.537908301544958,47.37918828,9.99001E+13
2683039,1247040,8.53802857,47.36896866,9.99001E+13
2683041,1246580,8.537969730736114,47.364831448140194,9.99001E+13
2683046,1247563,8.538218255860702,47.37367131764366,9.99001E+13
